Script started on 2026-07-04 16:38:47+03:00 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="110" LINES="56"]
[?2004hroot@AVIgo:/home/user/DevOps/codeby-devops/lesson4# [7mecho "Test message"[27mecho "Test message"
[?2004lTest message
[?2004hroot@AVIgo:/home/user/DevOps/codeby-devops/lesson4# [7mexit[27m[1Pexi[K[K[K[7mps aux[27mps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  24724 15772 ?        Ss   09:46   0:04 /sbin/init
root           2  0.0  0.0      0     0 ?        S    09:46   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    09:46   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-kvfree_rcu_reclaim]
root           5  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-rcu_gp]
root           6  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-sync_wq]
root           7  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-netns]
root          11  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    09:46   0:00 [kworker/u512:1-ipv6_addrconf]
root          15  0.0  0.0      0     0 ?        I    09:46   0:00 [rcu_tasks_kthread]
root          16  0.0  0.0      0     0 ?        I    09:46   0:00 [rcu_tasks_rude_kthread]
root          17  0.0  0.0      0     0 ?        I    09:46   0:00 [rcu_tasks_trace_kthread]
root          18  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/0]
root          19  0.1  0.0      0     0 ?        I    09:46   0:25 [rcu_preempt]
root          20  0.0  0.0      0     0 ?        S    09:46   0:05 [rcu_exp_par_gp_kthread_worker/1]
root          21  0.0  0.0      0     0 ?        S    09:46   0:00 [rcu_exp_gp_kthread_worker]
root          22  0.0  0.0      0     0 ?        S    09:46   0:03 [migration/0]
root          23  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/0]
root          24  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/0]
root          25  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/1]
root          26  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/1]
root          27  0.0  0.0      0     0 ?        S    09:46   0:05 [migration/1]
root          28  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/1]
root          30  0.0  0.0      0     0 ?        I<   09:46   0:01 [kworker/1:0H-kblockd]
root          31  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/2]
root          32  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/2]
root          33  0.0  0.0      0     0 ?        S    09:46   0:05 [migration/2]
root          34  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/2]
root          36  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/2:0H-events_highpri]
root          37  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/3]
root          38  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/3]
root          39  0.0  0.0      0     0 ?        S    09:46   0:05 [migration/3]
root          40  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/3]
root          42  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/3:0H-events_highpri]
root          43  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/4]
root          44  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/4]
root          45  0.0  0.0      0     0 ?        S    09:46   0:02 [migration/4]
root          46  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/4]
root          49  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/5]
root          50  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/5]
root          51  0.0  0.0      0     0 ?        S    09:46   0:03 [migration/5]
root          52  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/5]
root          54  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/5:0H-events_highpri]
root          55  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/6]
root          56  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/6]
root          57  0.0  0.0      0     0 ?        S    09:46   0:03 [migration/6]
root          58  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/6]
root          61  0.0  0.0      0     0 ?        S    09:46   0:00 [cpuhp/7]
root          62  0.0  0.0      0     0 ?        S    09:46   0:00 [idle_inject/7]
root          63  0.0  0.0      0     0 ?        S    09:46   0:03 [migration/7]
root          64  0.0  0.0      0     0 ?        S    09:46   0:00 [ksoftirqd/7]
root          66  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/7:0H-events_highpri]
root          77  0.0  0.0      0     0 ?        S    09:46   0:00 [kdevtmpfs]
root          78  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-inet_frag_wq]
root          79  0.0  0.0      0     0 ?        S    09:46   0:00 [kauditd]
root          80  0.0  0.0      0     0 ?        S    09:46   0:00 [khungtaskd]
root          82  0.0  0.0      0     0 ?        S    09:46   0:00 [oom_reaper]
root          84  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-writeback]
root          85  0.0  0.0      0     0 ?        S    09:46   0:08 [kcompactd0]
root          86  0.0  0.0      0     0 ?        SN   09:46   0:00 [ksmd]
root          87  0.0  0.0      0     0 ?        SN   09:46   0:08 [khugepaged]
root          88  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-kintegrityd]
root          89  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-kblockd]
root          90  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-blkcg_punt_bio]
root          91  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/9-acpi]
root          95  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-tpm_dev_wq]
root          96  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-edac-poller]
root          97  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-devfreq_wq]
root          98  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-quota_events_unbound]
root         102  0.0  0.0      0     0 ?        I<   09:46   0:01 [kworker/0:1H-kblockd]
root         103  0.0  0.0      0     0 ?        S    09:46   0:01 [kswapd0]
root         110  0.0  0.0      0     0 ?        I<   09:46   0:00 [kworker/R-kthrotld]
root         114  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/24-pciehp]
root         115  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/25-pciehp]
root         116  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/26-pciehp]
root         117  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/27-pciehp]
root         118  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/28-pciehp]
root         120  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/29-pciehp]
root         121  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/30-pciehp]
root         122  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/31-pciehp]
root         123  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/32-pciehp]
root         124  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/33-pciehp]
root         125  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/34-pciehp]
root         126  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/35-pciehp]
root         127  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/36-pciehp]
root         128  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/37-pciehp]
root         129  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/38-pciehp]
root         130  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/39-pciehp]
root         131  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/40-pciehp]
root         132  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/41-pciehp]
root         133  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/42-pciehp]
root         134  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/43-pciehp]
root         135  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/44-pciehp]
root         136  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/45-pciehp]
root         137  0.0  0.0      0     0 ?        S    09:46   0:00 [irq/46-pciehp]
